Conference,Team Name,Net Rating Rank,Seed,Region,Post-Season Tournament,Raw Offensive Efficiency,Raw Offensive Efficiency Rank,Raw Defensive Efficiency,Raw Defensive Efficiency Rank
Western Athletic Conference (WAC),Stephen F. Austin,176,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,100.5,277,100.1,56
Big South Conference,Winthrop,176,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,107.8,123,105.8,203
Southland Conference (SLC),Texas A&M-Corpus Christi,178,1,Lou Henson Classic,CIT,102.6,239,97.6,26
Conference USA (CUSA),UTEP,178,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,97.1,322,97.3,22
Missouri Valley Conference (MVC),Illinois State,180,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,101.8,255,104.7,175
Sun Belt Conference (SBC),Texas State,180,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,98.4,305,102.7,111
American Athletic Conference (AAC),Temple,182,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,101.8,252,106.3,216
Ivy League,Brown,183,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,102.8,233,105.8,202
"Ohio Valley Conference (OVC, The Valley)",Little Rock,184,10,CBI,CBI,110.1,82,102.2,103
American Athletic Conference (AAC),Tulsa,184,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,103.1,229,103.1,123
Horizon League,Northern Kentucky,186,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,104.9,189,105,181
Southeastern Conference (SEC),Vanderbilt,186,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,99.9,282,111.7,325
Metro Atlantic Athletic Conference (MAAC),Saint Peters,188,15,Midwest,March Madness,99.4,292,96.5,12
American Athletic Conference (AAC),East Carolina,189,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,103.9,211,107,231
Atlantic 10 Conference (A-10),Fordham,189,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,99.5,290,102.7,113
Horizon League,Cleveland State,191,9,CBI,CBI,109.5,94,107.2,239
West Coast Conference (WCC),Loyola Marymount,192,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,108,119,109.3,279
Southern Conference (SoCon),Wofford,192,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,107,140,110.6,305
Missouri Valley Conference (MVC),UIC,194,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,99,297,103.2,126
Atlantic 10 Conference (A-10),La Salle,195,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,105,183,108.5,263
Coastal Athletic Association (CAA),Monmouth,195,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,106.1,159,106.7,222
Big Sky Conference,Northern Colorado,195,8,CBI,CBI,111.2,56,109.5,287
Atlantic 10 Conference (A-10),Saint Louis,195,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,106.8,143,115.2,355
Conference USA (CUSA),Jacksonville State,199,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,101.2,261,101.7,87
Western Athletic Conference (WAC),California Baptist,200,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,102,248,102.2,101
Big East Conference,Georgetown,201,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,104,208,115,353
Atlantic Coast Conference (ACC),Louisville,201,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,101.4,259,112.1,330
Atlantic 10 Conference (A-10),George Washington,203,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,105.7,168,107.7,249
Big South Conference,Gardner-Webb,204,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,101.8,253,105.7,199
Big West Conference (BWC),UC Santa Barbara,205,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,105.8,166,106,210
Southland Conference (SLC),Lamar,206,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,107.4,131,103.4,133
Missouri Valley Conference (MVC),Evansville,207,11,CBI,CBI,100.3,278,106.5,218
Ivy League,Pennsylvania,208,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,107.1,139,112.5,332
Atlantic 10 Conference (A-10),Rhode Island,208,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,104.1,207,111.7,324
Summit League (The Summit),Kansas City,208,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,103.2,223,104.6,170
Metro Atlantic Athletic Conference (MAAC),Marist,211,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,98.9,298,94.8,5
Atlantic Sun Conference (ASUN),Eastern Kentucky,212,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,109,104,109.8,291
Big Sky Conference,Montana State,212,16,Midwest,March Madness,105,184,105.7,200
Southern Conference (SoCon),Mercer,214,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,104.2,202,107.6,246
